x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-10.000000E+00,-2.613065E+00,-506.533E-03,+442.211E-03,+2.010050E+00
-9.995000E+00,-2.452261E+00,-492.060E-03,+434.171E-03,+2.010050E+00
-9.990000E+00,-2.331658E+00,-506.533E-03,+466.332E-03,+2.010050E+00
-9.985000E+00,-2.412060E+00,-463.116E-03,+385.930E-03,+1.809045E+00
-9.980000E+00,-2.653266E+00,-419.699E-03,+321.608E-03,+1.809045E+00
-9.975000E+00,-3.015075E+00,-289.447E-03,+281.407E-03,+1.809045E+00
-9.970000E+00,-2.010050E+00,-578.894E-03,+482.412E-03,+1.809045E+00
-9.965000E+00,-1.648241E+00,-622.312E-03,+522.613E-03,+1.809045E+00
-9.960000E+00,-2.130653E+00,-463.116E-03,+393.970E-03,+1.809045E+00
-9.955000E+00,-1.447236E+00,-593.367E-03,+474.372E-03,+1.809045E+00
-9.950000E+00,-1.407035E+00,-651.256E-03,+562.814E-03,+1.809045E+00
-9.945000E+00,-2.412060E+00,-361.809E-03,+321.608E-03,+1.768844E+00
-9.940000E+00,-2.452261E+00,-361.809E-03,+297.487E-03,+1.728643E+00
-9.935000E+00,-1.889447E+00,-506.533E-03,+442.211E-03,+1.608040E+00
-9.930000E+00,-1.969849E+00,-506.533E-03,+442.211E-03,+1.608040E+00
-9.925000E+00,-1.407035E+00,-578.894E-03,+522.613E-03,+1.608040E+00
-9.920000E+00,-1.045226E+00,-636.784E-03,+594.975E-03,+1.608040E+00
-9.915000E+00,-1.608040E+00,-549.950E-03,+450.251E-03,+1.608040E+00
-9.910000E+00,-1.487437E+00,-578.894E-03,+466.332E-03,+1.608040E+00
-9.905000E+00,-1.809045E+00,-390.754E-03,+369.849E-03,+1.407035E+00
-9.900000E+00,-1.206030E+00,-578.894E-03,+522.613E-03,+1.608040E+00
-9.895000E+00,-1.246231E+00,-564.422E-03,+434.171E-03,+1.407035E+00
-9.890000E+00,-1.407035E+00,-463.116E-03,+385.930E-03,+1.487437E+00
-9.885000E+00,-2.211055E+00,-246.030E-03,+217.085E-03,+1.527638E+00
-9.880000E+00,-2.412060E+00,-231.558E-03,+201.005E-03,+1.407035E+00
-9.875000E+00,-1.809045E+00,-361.809E-03,+281.407E-03,+1.206030E+00
-9.870000E+00,-1.567839E+00,-376.281E-03,+369.849E-03,+1.206030E+00
-9.865000E+00,-1.125628E+00,-506.533E-03,+442.211E-03,+1.326633E+00
-9.860000E+00,-160.804E-03,-694.673E-03,+611.055E-03,+1.286432E+00
-9.855000E+00,-201.005E-03,-723.618E-03,+675.377E-03,+1.366834E+00
-9.850000E+00,-1.809045E+00,-361.809E-03,+321.608E-03,+1.407035E+00
-9.845000E+00,-2.010050E+00,-231.558E-03,+201.005E-03,+1.366834E+00
-9.840000E+00,-1.527638E+00,-361.809E-03,+273.367E-03,+1.206030E+00
-9.835000E+00,-1.005025E+00,-477.588E-03,+402.010E-03,+1.206030E+00
-9.830000E+00,-964.824E-03,-506.533E-03,+434.171E-03,+1.206030E+00
-9.825000E+00,-1.005025E+00,-434.171E-03,+361.809E-03,+1.206030E+00
-9.820000E+00,-1.246231E+00,-361.809E-03,+313.568E-03,+1.206030E+00
-9.815000E+00,-1.608040E+00,-289.447E-03,+217.085E-03,+1.125628E+00
-9.810000E+00,-1.407035E+00,-289.447E-03,+257.286E-03,+1.005025E+00
-9.805000E+00,-1.366834E+00,-303.920E-03,+241.206E-03,+1.005025E+00
-9.800000E+00,-1.407035E+00,-289.447E-03,+241.206E-03,+1.005025E+00
-9.795000E+00,-1.366834E+00,-347.337E-03,+241.206E-03,+1.005025E+00
-9.790000E+00,-1.005025E+00,-318.392E-03,+265.327E-03,+1.005025E+00
-9.785000E+00,-1.206030E+00,-289.447E-03,+217.085E-03,+1.005025E+00
-9.780000E+00,-1.407035E+00,-217.085E-03,+160.804E-03,+844.221E-03
-9.775000E+00,-1.407035E+00,-217.085E-03,+160.804E-03,+804.020E-03
-9.770000E+00,-1.608040E+00,-217.085E-03,+112.563E-03,+964.824E-03
-9.765000E+00,-1.125628E+00,-246.030E-03,+217.085E-03,+884.422E-03
-9.760000E+00,-884.422E-03,-289.447E-03,+265.327E-03,+804.020E-03
-9.755000E+00,-804.020E-03,-361.809E-03,+281.407E-03,+804.020E-03
