x-axis,1,2,3
second,Volt,Volt,Volt
-1.53000E+00,+2.98222E+00,+2.79777E+00,+187.83E-03
-1.51800E+00,+2.98222E+00,+2.79777E+00,+179.18E-03
-1.50600E+00,+2.98222E+00,+2.79777E+00,+179.18E-03
-1.49400E+00,+2.97217E+00,+2.79777E+00,+187.83E-03
-1.48200E+00,+2.96212E+00,+2.79777E+00,+187.83E-03
-1.47000E+00,+2.97217E+00,+2.78772E+00,+187.83E-03
-1.45800E+00,+2.98222E+00,+2.78772E+00,+187.83E-03
-1.44600E+00,+2.98222E+00,+2.78772E+00,+187.83E-03
-1.43400E+00,+2.97217E+00,+2.77767E+00,+187.83E-03
-1.42200E+00,+2.97217E+00,+2.78772E+00,+179.18E-03
-1.41000E+00,+2.98222E+00,+2.78772E+00,+187.83E-03
-1.39800E+00,+2.97217E+00,+2.77767E+00,+179.18E-03
-1.38600E+00,+2.97217E+00,+2.78772E+00,+187.83E-03
-1.37400E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
-1.36200E+00,+2.97217E+00,+2.77767E+00,+187.83E-03
-1.35000E+00,+2.97217E+00,+2.78772E+00,+187.83E-03
-1.33800E+00,+2.98222E+00,+2.79777E+00,+187.83E-03
-1.32600E+00,+2.97217E+00,+2.79777E+00,+170.54E-03
-1.31400E+00,+2.97217E+00,+2.78772E+00,+170.54E-03
-1.30200E+00,+2.96212E+00,+2.79777E+00,+187.83E-03
-1.29000E+00,+2.98222E+00,+2.79777E+00,+170.54E-03
-1.27800E+00,+2.97217E+00,+2.79777E+00,+187.83E-03
-1.26600E+00,+2.97217E+00,+2.79777E+00,+170.54E-03
-1.25400E+00,+2.98222E+00,+2.79777E+00,+179.18E-03
-1.24200E+00,+2.98222E+00,+2.79777E+00,+170.54E-03
-1.23000E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
-1.21800E+00,+2.98222E+00,+2.77767E+00,+187.83E-03
-1.20600E+00,+2.97217E+00,+2.77767E+00,+179.18E-03
-1.19400E+00,+2.97217E+00,+2.78772E+00,+187.83E-03
-1.18200E+00,+2.96212E+00,+2.78772E+00,+187.83E-03
-1.17000E+00,+2.98222E+00,+2.78772E+00,+187.83E-03
-1.15800E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
-1.14600E+00,+2.98222E+00,+2.77767E+00,+187.83E-03
-1.13400E+00,+2.98222E+00,+2.77767E+00,+187.83E-03
-1.12200E+00,+2.98222E+00,+2.77767E+00,+187.83E-03
-1.11000E+00,+2.98222E+00,+2.79777E+00,+179.18E-03
-1.09800E+00,+2.98222E+00,+2.78772E+00,+179.18E-03
-1.08600E+00,+2.97217E+00,+2.79777E+00,+179.18E-03
-1.07400E+00,+2.97217E+00,+2.79777E+00,+187.83E-03
-1.06200E+00,+2.98222E+00,+2.77767E+00,+187.83E-03
-1.05000E+00,+2.98222E+00,+2.79777E+00,+179.18E-03
-1.03800E+00,+2.97217E+00,+2.78772E+00,+179.18E-03
-1.02600E+00,+2.98222E+00,+2.78772E+00,+170.54E-03
-1.01400E+00,+2.98222E+00,+2.78772E+00,+187.83E-03
-1.00200E+00,+2.98222E+00,+2.77767E+00,+179.18E-03
-990.00E-03,+2.98222E+00,+2.78772E+00,+170.54E-03
-978.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-966.00E-03,+2.98222E+00,+2.77767E+00,+179.18E-03
-954.00E-03,+2.97217E+00,+2.78772E+00,+187.83E-03
-942.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
-930.00E-03,+2.98222E+00,+2.77767E+00,+187.83E-03
-918.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-906.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
-894.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
-882.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
-870.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
-858.00E-03,+2.98222E+00,+2.78772E+00,+170.54E-03
-846.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-834.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
-822.00E-03,+2.98222E+00,+2.78772E+00,+170.54E-03
-810.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
-798.00E-03,+2.98222E+00,+2.77767E+00,+196.47E-03
-786.00E-03,+2.97217E+00,+2.78772E+00,+187.83E-03
-774.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
-762.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
-750.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
-738.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
-726.00E-03,+2.96212E+00,+2.78772E+00,+179.18E-03
-714.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-702.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
-690.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-678.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-666.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
-654.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
-642.00E-03,+2.98222E+00,+2.79777E+00,+170.54E-03
-630.00E-03,+2.96212E+00,+2.77767E+00,+187.83E-03
-618.00E-03,+2.97217E+00,+2.78772E+00,+179.18E-03
-606.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
-594.00E-03,+2.96212E+00,+2.77767E+00,+170.54E-03
-582.00E-03,+2.96212E+00,+2.77767E+00,+187.83E-03
-570.00E-03,+2.96212E+00,+2.79777E+00,+179.18E-03
-558.00E-03,+2.98222E+00,+2.79777E+00,+179.18E-03
-546.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
-534.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
-522.00E-03,+2.97217E+00,+2.78772E+00,+187.83E-03
-510.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
-498.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
-486.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
-474.00E-03,+2.97217E+00,+2.77767E+00,+187.83E-03
-462.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
-450.00E-03,+2.98222E+00,+2.77767E+00,+170.54E-03
-438.00E-03,+2.97217E+00,+2.78772E+00,+187.83E-03
-426.00E-03,+2.97217E+00,+2.79777E+00,+170.54E-03
-414.00E-03,+2.98222E+00,+2.79777E+00,+187.83E-03
-402.00E-03,+2.98222E+00,+2.78772E+00,+179.18E-03
-390.00E-03,+2.97217E+00,+2.78772E+00,+170.54E-03
-378.00E-03,+2.97217E+00,+2.79777E+00,+187.83E-03
-366.00E-03,+2.97217E+00,+2.79777E+00,+179.18E-03
-354.00E-03,+2.98222E+00,+2.78772E+00,+187.83E-03
-342.00E-03,+2.97217E+00,+2.79777E+00,+170.54E-03
