Y,U,czas
0.0001,1,0.002249
0.00073,0.04966,0.00069312
2.6991e-07,0.00021,0
0,1,0,
4.66943e-07,1,0.0001,
7.31898e-06,1,0.0002,
3.52626e-05,1,0.0003,
0.000105099,0.999993,0.0004,
0.000240992,0.999962,0.0005,
0.000468294,0.999875,0.0006,
0.00081188,0.999694,0.0007,
0.00129492,0.999389,0.0008,
0.00193804,0.998939,0.0009,
0.0027588,0.998331,0.001,
0.0037714,0.997551,0.0011,
0.00498667,0.996582,0.0012,
0.0064121,0.995406,0.0013,
0.0080521,0.994011,0.0014,
0.00990829,0.992394,0.0015,
0.0119798,0.990559,0.0016,
0.0142636,0.988512,0.0017,
0.0167549,0.986254,0.0018,
0.0194477,0.983786,0.0019,
0.0223345,0.98111,0.002,
0.0254074,0.978235,0.0021,
0.0286579,0.975172,0.0022,
0.0320769,0.971933,0.0023,
0.0356555,0.968527,0.0024,
0.0393847,0.964962,0.0025,
0.0432558,0.961242,0.0026,
0.0472601,0.957377,0.0027,
0.0513895,0.953377,0.0028,
0.0556361,0.949253,0.0029,
0.0599925,0.945015,0.003,
0.0644516,0.940666,0.0031,
0.0690068,0.936214,0.0032,
0.0736519,0.931662,0.0033,
0.078381,0.92702,0.0034,
0.0831886,0.922294,0.0035,
0.0880697,0.917491,0.0036,
0.0930193,0.912615,0.0037,
0.0980329,0.90767,0.0038,
0.103106,0.902659,0.0039,
0.108235,0.897588,0.004,
0.113416,0.89246,0.0041,
0.118645,0.887282,0.0042,
0.123919,0.882056,0.0043,
0.129234,0.876785,0.0044,
0.134588,0.871471,0.0045,
0.139976,0.866119,0.0046,
0.145397,0.86073,0.0047,
0.150847,0.855311,0.0048,
0.156324,0.849862,0.0049,
0.161824,0.844386,0.005,
0.167347,0.838886,0.0051,
0.172888,0.833363,0.0052,
0.178447,0.82782,0.0053,
0.184019,0.822261,0.0054,
0.189604,0.816688,0.0055,
0.195199,0.811103,0.0056,
0.200803,0.805507,0.0057,
0.206412,0.799902,0.0058,
0.212026,0.794291,0.0059,
0.217642,0.788676,0.006,
0.223259,0.783058,0.0061,
0.228875,0.77744,0.0062,
0.234488,0.771822,0.0063,
0.240097,0.766207,0.0064,
0.245701,0.760595,0.0065,
0.251297,0.754989,0.0066,
0.256886,0.74939,0.0067,
0.262464,0.7438,0.0068,
0.268031,0.738219,0.0069,
0.273587,0.732649,0.007,
0.279129,0.72709,0.0071,
0.284656,0.721545,0.0072,
0.290169,0.716015,0.0073,
0.295665,0.7105,0.0074,
0.301143,0.705001,0.0075,
0.306603,0.699519,0.0076,
0.312044,0.694056,0.0077,
0.317465,0.688611,0.0078,
0.322866,0.683187,0.0079,
0.328245,0.677783,0.008,
0.333601,0.672401,0.0081,
0.338935,0.667041,0.0082,
0.344245,0.661703,0.0083,
0.349532,0.656389,0.0084,
0.354793,0.651099,0.0085,
0.36003,0.645834,0.0086,
0.36524,0.640594,0.0087,
0.370425,0.635379,0.0088,
0.375583,0.630191,0.0089,
0.380714,0.625029,0.009,
0.385817,0.619895,0.0091,
0.390892,0.614788,0.0092,
0.39594,0.609708,0.0093,
0.400958,0.604657,0.0094,
0.405948,0.599635,0.0095,
0.410909,0.594641,0.0096,
0.41584,0.589676,0.0097,
0.420742,0.584741,0.0098,
0.425614,0.579835,0.0099,
0.430455,0.57496,0.01,
0.435267,0.570114,0.0101,
0.440048,0.565299,0.0102,
0.444798,0.560514,0.0103,
0.449517,0.555759,0.0104,
0.454206,0.551036,0.0105,
0.458864,0.546343,0.0106,
0.46349,0.541682,0.0107,
0.468085,0.537051,0.0108,
0.472649,0.532452,0.0109,
0.477182,0.527884,0.011,
0.481683,0.523348,0.0111,
0.486153,0.518843,0.0112,
0.490591,0.514369,0.0113,
0.494997,0.509927,0.0114,
0.499373,0.505516,0.0115,
0.503716,0.501137,0.0116,
0.508029,0.496789,0.0117,
0.512309,0.492473,0.0118,
0.516559,0.488189,0.0119,
0.520777,0.483936,0.012,
0.524963,0.479714,0.0121,
0.529118,0.475523,0.0122,
0.533242,0.471364,0.0123,
0.537335,0.467237,0.0124,
0.541396,0.46314,0.0125,
0.545427,0.459075,0.0126,
0.549426,0.455041,0.0127,
0.553395,0.451037,0.0128,
0.557333,0.447065,0.0129,
0.56124,0.443123,0.013,
0.565117,0.439212,0.0131,
0.568963,0.435332,0.0132,
0.572779,0.431482,0.0133,
0.576564,0.427663,0.0134,
0.58032,0.423874,0.0135,
0.584045,0.420115,0.0136,
0.587741,0.416386,0.0137,
0.591406,0.412686,0.0138,
0.595043,0.409017,0.0139,
0.598649,0.405377,0.014,
0.602227,0.401767,0.0141,
0.605775,0.398186,0.0142,
0.609295,0.394634,0.0143,
0.612785,0.391112,0.0144,
0.616247,0.387618,0.0145,
0.61968,0.384153,0.0146,
0.623084,0.380716,0.0147,
0.626461,0.377308,0.0148,
0.629809,0.373928,0.0149,
0.63313,0.370576,0.015,
0.636423,0.367253,0.0151,
0.639688,0.363957,0.0152,
0.642925,0.360688,0.0153,
0.646136,0.357447,0.0154,
0.649319,0.354234,0.0155,
0.652476,0.351047,0.0156,
0.655605,0.347888,0.0157,
0.658709,0.344755,0.0158,
0.661785,0.341648,0.0159,
0.664836,0.338569,0.016,
0.66786,0.335515,0.0161,
0.670859,0.332488,0.0162,
0.673832,0.329486,0.0163,
0.676779,0.32651,0.0164,
0.679701,0.32356,0.0165,
0.682598,0.320635,0.0166,
0.68547,0.317735,0.0167,
0.688317,0.31486,0.0168,
0.691139,0.31201,0.0169,
0.693937,0.309185,0.017,
0.696711,0.306384,0.0171,
0.69946,0.303608,0.0172,
0.702186,0.300856,0.0173,
0.704887,0.298127,0.0174,
0.707566,0.295423,0.0175,
0.71022,0.292742,0.0176,
0.712852,0.290084,0.0177,
0.71546,0.28745,0.0178,
0.718046,0.284839,0.0179,
0.720609,0.282251,0.018,
0.723149,0.279685,0.0181,
0.725667,0.277142,0.0182,
0.728163,0.274621,0.0183,
0.730637,0.272123,0.0184,
0.733089,0.269647,0.0185,
0.735519,0.267192,0.0186,
0.737928,0.264759,0.0187,
0.740315,0.262348,0.0188,
0.742682,0.259958,0.0189,
0.745027,0.25759,0.019,
0.747352,0.255242,0.0191,
0.749655,0.252915,0.0192,
0.751939,0.250609,0.0193,
0.754202,0.248323,0.0194,
0.756444,0.246058,0.0195,
0.758667,0.243813,0.0196,
0.76087,0.241587,0.0197,
0.763054,0.239382,0.0198,
0.765217,0.237196,0.0199,
0.767362,0.23503,0.02,
0.769487,0.232884,0.0201,
0.771593,0.230756,0.0202,
0.773681,0.228648,0.0203,
0.775749,0.226558,0.0204,
0.7778,0.224487,0.0205,
0.779831,0.222435,0.0206,
0.781845,0.220401,0.0207,
0.78384,0.218386,0.0208,
0.785817,0.216388,0.0209,
0.787777,0.214409,0.021,
0.789719,0.212447,0.0211,
0.791643,0.210503,0.0212,
0.793551,0.208577,0.0213,
0.795441,0.206668,0.0214,
0.797313,0.204776,0.0215,
0.799169,0.202901,0.0216,
0.801009,0.201043,0.0217,
0.802831,0.199202,0.0218,
0.804637,0.197377,0.0219,
0.806427,0.195569,0.022,
0.808201,0.193778,0.0221,
0.809958,0.192002,0.0222,
0.8117,0.190243,0.0223,
0.813426,0.188499,0.0224,
0.815136,0.186772,0.0225,
0.816831,0.18506,0.0226,
0.81851,0.183363,0.0227,
0.820174,0.181682,0.0228,
0.821823,0.180016,0.0229,
0.823457,0.178365,0.023,
0.825077,0.17673,0.0231,
0.826681,0.175109,0.0232,
0.828271,0.173502,0.0233,
0.829847,0.171911,0.0234,
0.831408,0.170334,0.0235,
0.832955,0.168771,0.0236,
0.834488,0.167222,0.0237,
0.836007,0.165688,0.0238,
0.837512,0.164167,0.0239,
0.839003,0.16266,0.024,
0.840481,0.161167,0.0241,
0.841945,0.159688,0.0242,
0.843396,0.158222,0.0243,
0.844834,0.156769,0.0244,
0.846259,0.15533,0.0245,
0.847671,0.153904,0.0246,
0.84907,0.152491,0.0247,
0.850456,0.15109,0.0248,
0.851829,0.149703,0.0249,
0.85319,0.148328,0.025,
0.854539,0.146966,0.0251,
0.855875,0.145616,0.0252,
0.857199,0.144278,0.0253,
0.858511,0.142953,0.0254,
0.859811,0.141639,0.0255,
0.861099,0.140338,0.0256,
0.862375,0.139049,0.0257,
0.863639,0.137771,0.0258,
0.864892,0.136505,0.0259,
0.866134,0.135251,0.026,
0.867364,0.134008,0.0261,
0.868583,0.132776,0.0262,
0.869791,0.131556,0.0263,
0.870988,0.130347,0.0264,
0.872174,0.129149,0.0265,
0.873349,0.127962,0.0266,
0.874513,0.126786,0.0267,
0.875666,0.12562,0.0268,
0.876809,0.124465,0.0269,
0.877942,0.123321,0.027,
0.879064,0.122188,0.0271,
0.880176,0.121064,0.0272,
0.881278,0.119951,0.0273,
0.882369,0.118848,0.0274,
0.883451,0.117755,0.0275,
0.884523,0.116673,0.0276,
0.885585,0.1156,0.0277,
0.886637,0.114537,0.0278,
0.887679,0.113484,0.0279,
0.888712,0.11244,0.028,
0.889736,0.111406,0.0281,
0.89075,0.110381,0.0282,
0.891754,0.109366,0.0283,
0.89275,0.10836,0.0284,
0.893737,0.107364,0.0285,
0.894714,0.106376,0.0286,
0.895682,0.105398,0.0287,
0.896642,0.104428,0.0288,
0.897593,0.103468,0.0289,
0.898535,0.102516,0.029,
0.899468,0.101573,0.0291,
0.900393,0.100639,0.0292,
0.901309,0.0997128,0.0293,
0.902217,0.0987955,0.0294,
0.903117,0.0978867,0.0295,
0.904008,0.0969861,0.0296,
0.904891,0.0960939,0.0297,
0.905766,0.0952098,0.0298,
0.906633,0.0943338,0.0299,
0.907492,0.0934659,0.03,
0.908343,0.092606,0.0301,
0.909187,0.0917539,0.0302,
0.910022,0.0909097,0.0303,
0.91085,0.0900732,0.0304,
0.911671,0.0892444,0.0305,
0.912483,0.0884232,0.0306,
0.913289,0.0876096,0.0307,
0.914087,0.0868034,0.0308,
0.914877,0.0860047,0.0309,
0.91566,0.0852133,0.031,
0.916437,0.0844291,0.0311,
0.917206,0.0836522,0.0312,
0.917967,0.0828824,0.0313,
0.918722,0.0821196,0.0314,
0.91947,0.0813639,0.0315,
0.920211,0.0806151,0.0316,
0.920946,0.0798732,0.0317,
0.921673,0.0791382,0.0318,
0.922394,0.0784098,0.0319,
0.923108,0.0776882,0.032,
0.923816,0.0769732,0.0321,
0.924517,0.0762648,0.0322,
0.925212,0.0755629,0.0323,
0.9259,0.0748674,0.0324,
0.926582,0.0741784,0.0325,
0.927258,0.0734956,0.0326,
0.927928,0.0728192,0.0327,
0.928591,0.072149,0.0328,
0.929248,0.0714849,0.0329,
0.929899,0.0708269,0.033,
0.930545,0.070175,0.0331,
0.931184,0.0695291,0.0332,
0.931817,0.0688891,0.0333,
0.932445,0.068255,0.0334,
0.933067,0.0676268,0.0335,
0.933683,0.0670043,0.0336,
0.934293,0.0663875,0.0337,
0.934898,0.0657764,0.0338,
0.935497,0.065171,0.0339,
0.936091,0.0645711,0.034,
0.936679,0.0639767,0.0341,
0.937262,0.0633878,0.0342,
0.93784,0.0628043,0.0343,
0.938412,0.0622261,0.0344,
0.938979,0.0616533,0.0345,
0.939541,0.0610858,0.0346,
0.940097,0.0605235,0.0347,
0.940649,0.0599663,0.0348,
0.941195,0.0594143,0.0349,
0.941736,0.0588674,0.035,
0.942273,0.0583254,0.0351,
0.942804,0.0577885,0.0352,
0.943331,0.0572565,0.0353,
0.943852,0.0567294,0.0354,
0.944369,0.0562072,0.0355,
0.944881,0.0556898,0.0356,
0.945389,0.0551771,0.0357,
0.945892,0.0546691,0.0358,
0.94639,0.0541658,0.0359,
0.946883,0.0536672,0.036,
0.947372,0.0531731,0.0361,
0.947857,0.0526836,0.0362,
0.948337,0.0521986,0.0363,
0.948812,0.051718,0.0364,
0.949284,0.0512419,0.0365,
0.949751,0.0507701,0.0366,
0.950213,0.0503027,0.0367,
0.950672,0.0498396,0.0368,
0.951126,0.0493808,0.0369,
0.951576,0.0489262,0.037,
0.952022,0.0484757,0.0371,
0.952463,0.0480294,0.0372,
0.952901,0.0475872,0.0373,
0.953335,0.0471491,0.0374,
0.953764,0.046715,0.0375,
0.95419,0.046285,0.0376,
0.954612,0.0458588,0.0377,
